field,name
FIELD_1,_id
FIELD_2,AREA_ID
FIELD_3,DATE_EFFECTIVE
FIELD_4,DATE_EXPIRY
FIELD_5,AREA_ATTR_ID
FIELD_6,AREA_TYPE_ID
FIELD_7,PARENT_AREA_ID
FIELD_8,AREA_TYPE
FIELD_9,AREA_CLASS_ID
FIELD_10,AREA_CLASS
FIELD_11,AREA_SHORT_CODE
FIELD_12,AREA_LONG_CODE
FIELD_13,AREA_NAME
FIELD_14,AREA_DESC
FIELD_15,FEATURE_CODE
FIELD_16,FEATURE_CODE_DESC
FIELD_17,TRANS_ID_CREATE
FIELD_18,TRANS_ID_EXPIRE
FIELD_19,X
FIELD_20,Y
FIELD_21,LONGITUDE
FIELD_22,LATITUDE
FIELD_23,OBJECTID
FIELD_24,Shape__Area
FIELD_25,Shape__Length
geometry,geometry
